Date,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule,
14/04/2004,D,lube system malfunction,PM01,122.37,10,NA,Grease System,NA,NA,NA,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_260,
01/05/2004,D,lube fault (grease tank empty),PM01,262.74,17,NA,Tank_Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_208_260_306_476,
17/05/2004,D,lube fault.,PM01,262.74,16,NA,Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_260_476,
18/05/2004,D,Lube system fault,PM01,0,1,NA,Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_260_476,
18/05/2004,D,Broken grease line on bucket,PM01,0,0,Bucket,Grease System,NA,NA,Structural Integrity,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_5_141_306_469,
26/05/2004,D,Grease fault alarm erratic,PM01,481.44,8,NA,Misc_Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_285_306_476,
08/06/2004,D,grease sys going out on fault,PM01,1442.18,13,NA,Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_306_476,
08/08/2004,D,oil leak from steel line on boom,PM01,310.16,61,Hydraulic System,Grease System_Lift,NA,NA,Leak,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_53_72_144_164_434,
25/08/2004,D,lube fault,PM01,155.08,17,NA,Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_260_476,
26/08/2004,D,out with lube fault,PM01,155.08,1,NA,Grease System,NA,NA,Unspecified,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_260_476,
24/09/2004,D,grease system is timing out,PM01,218.57,29,NA,Grease System,NA,NA,NA,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_306,
01/10/2004,D,oil leak from steel line on boom,PM01,1309.74,7,Hydraulic System,Grease System_Lift,NA,NA,Leak,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_53_72_144_164_434,
13/10/2004,D,Repair broken grease line.,PM01,914.19,12,NA,Grease System,Repair,1,Structural Integrity,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_141_306_366_469,
10/01/2005,D,repair lube system fault,PM01,0,89,NA,Grease System,Repair,1,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_366_476,
05/03/2005,D,Lube Fault - Lost Crowd.,PM01,0,54,NA,Grease System,NA,NA,Missing / Loose_Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_441_476,
11/03/2005,D,Overhaul Lube Pump.,PM01,3274.06,6,NA,Pump_Grease System,Replace,3,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_192_260_394,
28/05/2005,D,troubleshoot lube system no pressure had,PM01,3584.66,78,NA,Grease System,Repair,13,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_380,
20/07/2005,D,replace both boom to stick grease hoses,PM01,0,53,Hydraulic System,Grease System_Lift_Drivers Cabin,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_54_143_164_287_306_392_393,
29/09/2005,D,continual lube faults,PM01,175.19,71,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
30/09/2005,D,Replace broken grease line bucket pivot,PM01,350.37,1,Bucket,Grease System,Replace,2V,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_141_306_392_393_469,
08/10/2005,D,Replace line indicator grease block,PM01,1201.13,8,NA,Grease System_Lock_Wear Items_Electrics,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_165_224_280_306_392_393,
22/10/2005,D,lube system auto lube not working,PM01,175.19,14,NA,Grease System,NA,NA,Unspecified,NA,NA,OPERATORS CABIN,0,Rule_1_3_260_477,
23/10/2005,D,grease system not working,PM01,0,1,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306_477,
11/11/2005,D,replace lube block on access stairs,PM01,669.04,19,NA,Lock_Wear Items_Ladder_Grease System,Replace,2V,NA,NA,NA,MAIN FRAME,0,Rule_1_3_165_224_258_260_392_393,
14/11/2005,D,grease lube fault,PM01,0,3,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_306_476,
03/12/2005,D,CHANGE OVER GREASE SOLENOID FAULTY,PM01,713.6,19,NA,Grease System,Replace,1,Unspecified,NA,NA,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_306_387_476,
11/12/2005,D,grease fitting leaking on stick,PM01,0,8,NA,Drivers Cabin_Grease System,NA,NA,Leak,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_287_306_434,
23/12/2005,D,Repair grease line on deck of SHD24,PM01,230.2,12,Superstructure,Grease System,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_77_141_306_366,
29/12/2005,D,Changeout lube pump on SHD24,PM01,1670.12,6,NA,Pump_Grease System,Replace,1,NA,NA,NA,Excavator Twin Drive O&K RH120E SHD24,0,Rule_1_3_192_260_387,
05/01/2006,D,Reair and return grease pump,PM01,940,7,NA,Pump_Grease System,Minor Maint,19,NA,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_306_357,
15/01/2006,D,Grease line hanging from car body,PM01,0,10,Superstructure,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_74_141_306,
17/01/2006,D,coupling leaking front grease pump,PM01,0,2,NA,Pump_Grease System,NA,NA,Leak,Front,NA,GREASE LUBE SYSTEM,0,Rule_1_3_192_306_434_505,
19/01/2006,D,BLOWN GREASE LINE,PM01,0,2,NA,Grease System,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_468,
07/02/2006,D,replace shaft lube. seals #3 & #4 mains,PM01,0,19,NA,Seal_Grease System,Replace,2V,NA,NA,NA,MAIN HYDRAULIC PUMPS,0,Rule_1_3_202_260_392_393,
07/02/2006,D,R/H/S prelube pump leaking,PM01,2973.56,0,NA,Pump_Grease System,Minor Maint,6V,Leak,Right,NA,ENGINE RIGHT HAND,0,Rule_1_3_192_260_332_434_519,
07/02/2006,D,repair lube lines on access stairs,PM01,32.2,0,NA,Grease System_Ladder,Repair,1,NA,NA,NA,SUPERSTRUCTURE,0,Rule_1_3_140_258_260_366,
07/02/2006,D,Replace grease screens,PM01,761.76,0,NA,Grease System,Replace,2V,NA,NA,NA,PUMPS - GEARCASE LUBE/ 60BAR SERVO,0,Rule_1_3_306_392_393,
07/02/2006,D,Repair Grease leak at pump,PM01,24.2,0,NA,Pump_Grease System,Repair,1,Leak,NA,Positional Term,GREASE LUBE SYSTEM,0,Rule_1_3_192_306_366_434_523,
20/02/2006,D,Repair grease line crowd,PM01,615.13,13,NA,Grease System,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_366,
05/03/2006,D,Main grease supply hose blown,PM01,0,13,Hydraulic System,Grease System,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_54_143_306_468,
09/03/2006,D,Hyd. leak leak at grease system,PM01,0,4,Hydraulic System,Grease System,NA,NA,Leak,NA,Positional Term,GREASE LUBE SYSTEM,0,Rule_1_3_52_306_434_523,
09/03/2006,D,Grease leak behind control panel,PM01,0,0,NA,Controls_Grease System,NA,NA,Leak,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_98_306_434,
25/03/2006,D,lube fault,PM01,82.32,16,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
25/03/2006,D,lube falt,PM01,0,0,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260,
13/04/2006,D,Replace grease system control valve,PM01,0,19,NA,Controls_Hydraulic Fitting_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_98_146_306_392_393,
27/04/2006,D,pto spline cavities loosing oil,PM01,524.12,14,Hydraulic System,Grease System_Joint_Hydraulic Cylinder,NA,NA,NA,NA,NA,PUMP GEARBOX - LEFT,0,Rule_1_3_53_144_156_244,
30/04/2006,D,grease leak,PM01,0,3,NA,Grease System,NA,NA,Leak,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306_434,
09/05/2006,D,Replace Terex grease filter,PM01,708.57,9,Engine,Filter_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_51_128_306_392_393,
16/05/2006,D,Repair grease line on SHD24,PM01,0,7,NA,Grease System,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_366,
15/06/2006,D,DEF.Repair broken grease line on steps,PM01,0,30,NA,Grease System_Ladder,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_257_306_366_469,
16/06/2006,D,REPLACE GREASE LINE LEFT HAND BUCKET,PM01,0,1,Bucket,Grease System,Replace,2V,NA,Left,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_141_306_392_393_510,
26/06/2006,D,Lube low pressure fault on SHD24,PM01,702.59,10,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
27/07/2006,D,Supply grease pump adaptors,PM01,593.66,31,Bucket,Adaptor_Pump_Hydraulic Cylinder_Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_16_82_192_244_306,
12/08/2006,D,blown grease line at pump,PM01,402.66,16,NA,Grease System_Pump,NA,NA,Structural Integrity,NA,Positional Term,GREASE LUBE SYSTEM,0,Rule_1_3_141_192_306_468_523,
12/08/2006,D,Broken grease line,PM01,0,0,NA,Grease System,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_469,
31/08/2006,D,LUBE FAULT,PM01,0,19,NA,Air Conditioning_Grease System,NA,NA,Unspecified,NA,NA,AIR CONDITIONING SYSTEM,0,Rule_1_3_229_260_476,
03/09/2006,D,replace grease fill filter,PM01,0,3,Engine,Filter_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_51_128_306_392_393,
14/09/2006,D,System low on pressure,PM01,316.01,11,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3,
14/09/2006,D,Replace failed lube pump SHD24,PM01,0,0,NA,Pump_Grease System,Replace,2V,Unspecified,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_260_392_393_472,
14/09/2006,D,Require spare lube pump for SHD24,PM01,6915.4,0,NA,Pump_Grease System,NA,NA,NA,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_260,
17/09/2006,D,Grease pump failed,PM01,0,3,NA,Pump_Grease System,NA,NA,Unspecified,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_306_472,
17/09/2006,D,Replace Failed Grease Pump SHD24,PM01,0,0,NA,Pump_Grease System,Replace,2V,Unspecified,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_306_392_393_472,
28/09/2006,D,machine needs a grease audit,PM01,0,11,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306,
06/10/2006,D,machine down - lube fault,PM01,0,8,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
21/10/2006,D,Lube fault on SHD24,PM01,158.99,15,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
02/11/2006,D,lube fault,PM01,0,12,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
02/11/2006,D,Supply Terex with grease system parts,PM01,370.52,0,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306,
14/11/2006,D,lube malfunction,PM01,3047.39,12,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260,
14/11/2006,D,Lube Malfunction,PM01,0,0,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260,
26/11/2006,D,Lube fault,PM01,396.88,12,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
27/11/2006,D,Lube fault re-occurring SHD24,PM01,152.63,1,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
28/11/2006,D,replace lube pump,PM01,264.59,1,NA,Pump_Grease System,Replace,2V,NA,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_260_392_393,
29/11/2006,D,Install grease pump,PM01,165.49,1,NA,Pump_Grease System,Replace,5,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_192_306_400,
29/11/2006,D,Re-occurring lube fault SHD24,PM01,413.72,0,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
29/11/2006,D,Changeout lube changeover valve SHD24,PM01,6609.96,0,NA,Hydraulic Fitting_Grease System,Replace,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_146_260_387,
12/12/2006,D,Lube system fault,PM01,165.49,13,NA,Grease System,NA,NA,Unspecified,NA,NA,Pumps/Valves/Coolers/Hoses,0,Rule_1_3_260_476,
23/01/2007,D,replace gease line on bucket,PM01,0,42,Bucket,Grease System,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_307_392_393,
08/02/2007,D,Crack in mount for grease tank,PM01,1522.41,16,NA,Mount_Tank_Grease System,NA,NA,Structural Integrity,NA,NA,SUPERSTRUCTURE,0,Rule_1_3_181_208_306_470,
24/02/2007,D,LUBE FAULT,PM01,0,16,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
02/03/2007,D,Auto Lube system not lubing too well,PM01,369.45,6,NA,Grease System,NA,NA,NA,NA,NA,Pumps/Valves/Coolers/Hoses,0,Rule_1_3_260,
04/03/2007,D,Replace missing lube pump in SHD24,PM01,9798.23,2,NA,Pump_Grease System,Replace,2V,Missing / Loose,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_192_260_392_393_440,
10/03/2007,D,Lube system faulting SHD24,PM01,184.72,6,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
22/03/2007,D,Replace grease distribution blocks,PM01,427.58,12,NA,Lock_Wear Items_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_165_224_306_392_393,
23/03/2007,D,reset grease system to10minutes,PM01,0,1,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306,
01/04/2007,D,Replace bucket lube line on SHD24,PM01,192.17,9,Bucket,Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_140_260_392_393,
12/04/2007,D,repair broken grease line,PM01,1463.73,11,NA,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_366_469,
12/04/2007,D,Replace Terex grease injectors,PM01,2616.84,0,NA,Engine Component_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_124_306_392_393,
19/04/2007,D,Clean grease/rocks from slew ring,PM01,0,7,Hydraulic System,Grease System,Minor Maint,9,NA,NA,NA,MACHINE,0,Rule_1_3_55_306_343,
19/04/2007,D,grease platform cracked,PM01,493.2,0,NA,Misc_Grease System,NA,NA,Structural Integrity,NA,NA,MAIN FRAME,0,Rule_1_3_176_306_470,
26/04/2007,D,Lube system fault,PM01,192.17,7,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
12/05/2007,D,2x Broken grease lines,PM01,319.79,16,NA,Grease System,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_306_469,
13/05/2007,D,Replace lube lines on bucket pins,PM01,513.12,1,Bucket,Grease System_Mount,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_140_182_260_392_393,
17/05/2007,D,Perform grease audit,PM01,808.55,4,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306,
14/06/2007,D,Replace grease blocks on boom,PM01,1744.56,28,NA,Lift_Lock_Wear Items_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_164_165_224_306_392_393,
03/07/2007,D,grease alarm,PM01,0,19,NA,Misc_Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_285_306,
08/07/2007,D,lube system fault,PM01,359.61,5,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_476,
09/07/2007,D,Replace grease quickfill on service leg,PM01,385.16,1,NA,Grease System,Minor Maint_Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306_338_392_393,
11/07/2007,D,rebuild grease pump,PM01,3750,2,NA,Pump_Grease System,Repair,5,NA,NA,NA,GREASE PUMP  ONLY 1 OF,0,Rule_1_3_192_306_371,
13/07/2007,D,grease fault alarm,PM01,0,2,NA,Misc_Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_285_306_476,
23/07/2007,D,grease fill problems,PM01,915.07,10,NA,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_306,
24/07/2007,D,replace grease inlet filter,PM01,0,1,Engine,Filter_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_51_128_306_392_393,
27/07/2007,D,grease lube fault,PM01,359.61,3,NA,Grease System,NA,NA,Unspecified,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_306_476,
09/08/2007,D,Lube leak in system SHD24,PM01,77.24,13,NA,Grease System,NA,NA,Leak,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_260_434,
19/08/2007,D,Lube system fault,PM01,463.45,10,NA,Grease System,NA,NA,Unspecified,NA,NA,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_260_476,
27/08/2007,D,Refit filter to grease system,PM01,0,8,Engine,Filter_Grease System,Modify_Replace,Install,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_51_128_306_365_385,
08/09/2007,D,Broken grease lines on steps,PM01,493.83,12,NA,Grease System_Ladder,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_257_306_469,
13/09/2007,D,Broken grease lines on access stairs,PM01,0,5,NA,Grease System_Ladder,NA,NA,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_141_258_306_469,
